日期,产品类别,产品名称,销售额,销售量,利润率,地区
2024-01,服装,夏季T恤,45200,302,0.32,华东
2024-01,电子,智能手机,128900,43,0.18,华北
2024-01,食品,坚果礼盒,23100,462,0.28,华南
2024-01,服装,运动鞋,67800,226,0.35,华东
2024-01,电子,平板电脑,89200,31,0.21,华西
2024-02,服装,夏季T恤,38900,260,0.30,华东
2024-02,电子,智能手机,145600,48,0.19,华北
2024-02,食品,坚果礼盒,28400,568,0.29,华南
2024-02,服装,运动鞋,72100,240,0.36,华东
2024-02,电子,平板电脑,95600,33,0.22,华西
2024-03,服装,夏季T恤,56700,378,0.34,华东
2024-03,电子,智能手机,162300,54,0.20,华北
2024-03,食品,坚果礼盒,19800,396,0.26,华南
2024-03,服装,运动鞋,81200,271,0.38,华东
2024-03,电子,平板电脑,112800,39,0.23,华西
2024-04,服装,夏季T恤,78900,526,0.38,华东
2024-04,电子,智能手机,178500,60,0.21,华北
2024-04,食品,坚果礼盒,32100,642,0.31,华南
2024-04,服装,运动鞋,93400,311,0.40,华东
2024-04,电子,平板电脑,128900,45,0.25,华西
2024-05,服装,夏季T恤,92300,615,0.42,华东
2024-05,电子,智能手机,156200,52,0.19,华北
2024-05,食品,坚果礼盒,41200,824,0.33,华南
2024-05,服装,运动鞋,88100,294,0.39,华东
2024-05,电子,平板电脑,109600,38,0.22,华西
2024-06,服装,夏季T恤,68400,456,0.36,华东
2024-06,电子,智能手机,189400,63,0.22,华北
2024-06,食品,坚果礼盒,38600,772,0.32,华南
2024-06,服装,运动鞋,79800,266,0.37,华东
2024-06,电子,平板电脑,134500,47,0.26,华西
